id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd52;01/01/2013;00:00;-73.996643;40.732185;-74.001266;40.725452000000004;1;pickUpMinDateTime
cmd53;01/01/2013;00:00;-73.988739;40.718876;-73.97719599999999;40.751961;2;pickUpMinDateTime
cmd54;01/01/2013;00:00;-73.993736;40.752232;-73.99646800000001;40.742965999999996;1;pickUpMinDateTime
cmd55;01/01/2013;00:00;-73.975441;40.749657;-73.977333;40.751991;1;pickUpMinDateTime
cmd56;01/01/2013;00:00;-73.957649;40.717785;-73.966522;40.714657;2;pickUpMinDateTime
cmd57;01/01/2013;00:00;-73.982323;40.768826000000004;-73.94953199999999;40.779476;3;pickUpMinDateTime
cmd58;01/01/2013;00:00;-73.996498;40.737839;-73.986626;40.751373;4;pickUpMinDateTime
cmd59;01/01/2013;00:00;-73.967804;40.756153000000005;-74.00147199999999;40.733807;1;pickUpMinDateTime
cmd60;01/01/2013;00:00;-74.005646;40.726166;-73.991371;40.727367;1;pickUpMinDateTime
cmd61;01/01/2013;00:00;-74.000221;40.725468;-73.982979;40.776855;1;pickUpMinDateTime
cmd62;01/01/2013;00:00;-73.9701;40.768005;-73.96977199999999;40.767834;1;pickUpMinDateTime
cmd63;01/01/2013;00:00;-73.993385;40.752064000000004;-73.916451;40.768929;1;pickUpMinDateTime
cmd64;01/01/2013;00:00;-73.980583;40.769863;-73.878899;40.828575;2;pickUpMinDateTime
cmd65;01/01/2013;00:00;-73.865562;40.771011;-73.979416;40.748825;2;pickUpMinDateTime
cmd66;01/01/2013;00:00;-74.00752299999999;40.711506;-73.93343399999999;40.697865;1;pickUpMinDateTime
cmd67;01/01/2013;00:00;-73.98786899999999;40.724018;-73.869926;40.830921000000004;1;pickUpMinDateTime
cmd68;01/01/2013;00:00;-73.989082;40.74831;-73.990425;40.749916;1;pickUpMinDateTime
cmd69;01/01/2013;00:00;-73.794617;40.657207;-73.794617;40.657207;1;pickUpMinDateTime
cmd70;01/01/2013;00:00;-74.00431800000001;40.752753999999996;-73.994576;40.760803;2;pickUpMinDateTime
cmd71;01/01/2013;00:00;-73.989182;40.744717;-73.983742;40.782036;1;pickUpMinDateTime
cmd72;01/01/2013;00:00;-73.988762;40.731087;-73.98620600000001;40.746574;2;pickUpMinDateTime
cmd73;01/01/2013;00:00;-73.960243;40.775673;-73.983398;40.766819;4;pickUpMinDateTime
cmd74;01/01/2013;00:00;-74.006332;40.712013;-73.988365;40.737559999999995;1;pickUpMinDateTime
cmd75;01/01/2013;00:00;-73.96106;40.765018;-73.97874499999999;40.752563;2;pickUpMinDateTime
cmd76;01/01/2013;00:00;-73.982964;40.742157;-73.99098199999999;40.748726;1;pickUpMinDateTime
cmd77;01/01/2013;00:00;-73.99427;40.756458;-73.964249;40.756935;1;pickUpMinDateTime
cmd78;01/01/2013;00:00;-74.005165;40.720531;-74.003929;40.725654999999996;1;pickUpMinDateTime
cmd79;01/01/2013;00:00;-73.979073;40.74432;-73.976311;40.728676;1;pickUpMinDateTime
